order_id,pick_up_latitude,pick_up_longitude,delivery_latitude,delivery_longitude
1,22.320156,114.16180200000001,22.3176107,114.1633357
2,22.31256172,114.16881880000001,22.316837,114.17063799999998
3,22.31796858,114.164717,22.320356399999998,114.16624820000001
4,22.322008800000003,114.15934840000001,22.31812053,114.16864509999999
5,22.31673438,114.16238100000001,22.31447082,114.17834599999999
6,22.3178715,114.16991110000001,22.3203042,114.18016979999999
7,22.3142109,114.16308290000002,22.321149899999998,114.16190559999998
8,22.32319638,114.17242890000001,22.324061999999998,114.17304399999999
9,22.3177235,114.1821742,22.32318226,114.1723251
10,22.31186849,114.18204340000001,22.316726,114.1656457
11,22.317846399999997,114.1686943,22.31746702,114.16393719999999
12,22.3170957,114.1665502,22.3105791,114.1789787
13,22.31090594,114.18207120000001,22.315162,114.17112
14,22.314201,114.17813000000001,22.3151483,114.17026200000001
15,22.3148561,114.16726840000001,22.3097492,114.1661229
16,22.3150079,114.16996850000001,22.320044199999998,114.17329579999999
17,22.321264300000003,114.1631335,22.3359862,114.1677094
18,22.326220000000003,114.170152,22.31569431,114.1706142
19,22.3190389,114.1558722,22.316525199999997,114.17237800000001
20,22.317957,114.169279,22.3202757,114.17609920000001
